,statid,name,statlat,statlong,statreg,walk_score,transit_score,bike_score,dist_creg
0,3047,Pico & Flower,34.039982,-118.266403,DTLA,84,100.0,86,0.015
1,3005,7th & Flower,34.0485,-118.25853700000002,DTLA,97,100.0,85,0.0114
2,3037,Imperial & 7th,34.034801,-118.231277,DTLA,71,64.0,70,0.0418
3,3006,Olive & 8th,34.04554,-118.25666799999999,DTLA,97,100.0,87,0.0147
4,3069,Broadway & 3rd,34.05088,-118.248253,DTLA,96,100.0,76,0.0201
5,3019,12th & Hill,34.038609,-118.260857,DTLA,91,100.0,85,0.0177
6,3076,9th & Los Angeles,34.0406,-118.25383799999999,DTLA,97,100.0,93,0.0201
7,3016,Los Angeles & Temple,34.052898,-118.24156200000002,DTLA,78,67.0,70,0.0265
8,4130,DoubleTree Hotel,33.719260999999996,-118.28272199999999,Port of LA,39,39.0,66,0.0275
9,3033,Main & 9th,34.040989,-118.255798,DTLA,97,100.0,94,0.0185
10,3031,7th & Spring,34.044701,-118.25244099999999,DTLA,99,100.0,93,0.0186
11,3030,Main & 1st,34.051941,-118.24353,DTLA,93,100.0,74,0.0246
12,3010,11th & Maple,34.037048,-118.25486799999999,DTLA,79,100.0,83,0.0221
13,4215,Downtown Santa Monica Expo Line Station,34.014309000000004,-118.49134099999999,Westside,93,82.0,90,0.0555
14,3018,Grand & Olympic,34.043732,-118.260139,DTLA,95,100.0,84,0.0136
15,3014,Union Station West Portal,34.05661,-118.23721299999998,DTLA,92,100.0,76,0.0308
16,3028,Grand & Temple,34.058319,-118.246094,DTLA,87,100.0,62,0.0222
17,4214,Ocean Front Walk & Navy,33.99556,-118.48155200000001,Westside,90,53.0,100,0.0471
18,3068,Grand & 3rd,34.0532,-118.25095400000001,DTLA,96,100.0,62,0.0171
19,3063,Olive & 5th,34.048038,-118.25373799999998,DTLA,98,100.0,67,0.0158
20,4212,Windward & Main,33.988129,-118.471741,Westside,94,55.0,99,0.0409
21,3035,Figueroa & 8th,34.048401,-118.260948,DTLA,96,100.0,82,0.0096
22,3034,Hope & 11th,34.042061,-118.26338200000001,DTLA,93,100.0,83,0.0136
23,3082,Traction & Rose,34.04652,-118.23741100000001,DTLA,93,96.0,73,0.0317
24,4129,Crafted 22nd St Park,33.725819,-118.28051,Port of LA,52,32.0,77,0.0206
25,3081,Stanford & 12th,34.031890999999995,-118.250183,DTLA,75,83.0,75,0.0291
26,4249,Figueroa & McCarthy Way,34.020302,-118.281181,DTLA,90,80.0,100,0.037
27,4248,29th & Ellendale,34.028351,-118.288673,DTLA,85,69.0,90,0.0336
28,3067,Main & 6th,34.045181,-118.25023700000001,DTLA,98,100.0,89,0.0202
29,4311,7th & Berendo,34.059689,-118.29466200000002,DTLA,96,81.0,68,0.0271
30,3007,5th & Grand,34.05048,-118.254593,DTLA,98,100.0,65,0.0141
31,3051,7th & Broadway,34.045421999999995,-118.25351699999999,DTLA,98,100.0,88,0.0173
32,3042,1st & Central,34.049301,-118.238808,DTLA,95,100.0,82,0.0297
33,3075,Broadway & 9th,34.04211,-118.25618700000001,DTLA,97,100.0,92,0.0174
34,4353,Windward & Main,33.988129,-118.471741,Westside,94,55.0,99,0.0409
35,4346,Ocean Front Walk & North Venice,33.984341,-118.47155,Westside,88,54.0,92,0.0428
36,3027,Spring & 3rd,34.04998,-118.24716200000002,DTLA,97,100.0,83,0.0214
37,3029,Main & 4th,34.048851,-118.246422,DTLA,97,100.0,85,0.0224
38,3008,Figueroa & 9th,34.046611999999996,-118.26273300000001,DTLA,95,100.0,82,0.0098
